time,foot_right_x,foot_right_y,foot_right_z,foot_left_x,foot_left_y,foot_left_z,CoM_x,CoM_y,CoM_z,torso_speed_norm,speed_goal,angle_deg,angle_deg_goal,dist_cdm_line
0.002000,-1.970411,-0.163000,0.040827,-1.970411,0.163000,0.040827,-1.984998,0.001544,1.256048,0.000000,1.000000,0.000000,0.000000,0.014587
0.064000,-1.921931,-0.187910,0.031981,-2.038376,0.195915,0.031774,-1.978074,0.001652,1.239928,0.013955,1.000000,-4.130768,0.000000,0.001308
0.066000,-1.921495,-0.188685,0.031429,-2.039407,0.196576,0.031411,-1.977673,0.001601,1.239275,0.005920,1.000000,-4.317992,0.000000,0.001971
0.068000,-1.921044,-0.189288,0.030916,-2.040263,0.196951,0.031012,-1.977303,0.001538,1.238661,0.005867,1.000000,-4.509076,0.000000,0.002525
0.068000,-1.921044,-0.189288,0.030916,-2.040263,0.196951,0.031012,-1.977303,0.001538,1.238661,0.005867,1.000000,-4.509076,0.000000,0.002525
0.070000,-1.920589,-0.189733,0.030442,-2.040973,0.197068,0.030556,-1.976964,0.001463,1.238094,0.004508,1.000000,-4.707586,0.000000,0.002990
0.070000,-1.920589,-0.189733,0.030442,-2.040973,0.197068,0.030556,-1.976964,0.001463,1.238094,0.004508,1.000000,-4.707586,0.000000,0.002990
0.072000,-1.920143,-0.190037,0.030002,-2.041562,0.196945,0.030026,-1.976651,0.001374,1.237579,0.004570,1.000000,-4.916521,0.000000,0.003386
0.074000,-1.919702,-0.190212,0.029587,-2.042068,0.196586,0.029434,-1.976364,0.001275,1.237116,0.007919,1.000000,-5.139340,0.000000,0.003733
0.074000,-1.919702,-0.190212,0.029587,-2.042068,0.196586,0.029434,-1.976364,0.001275,1.237116,0.007919,1.000000,-5.139340,0.000000,0.003733
0.076000,-1.919285,-0.190263,0.029193,-2.042506,0.196033,0.028777,-1.976097,0.001168,1.236703,0.013385,1.000000,-5.372200,0.000000,0.004050
0.076000,-1.919285,-0.190263,0.029193,-2.042506,0.196033,0.028777,-1.976097,0.001168,1.236703,0.013385,1.000000,-5.372200,0.000000,0.004050
0.078000,-1.918899,-0.190204,0.028812,-2.042890,0.195325,0.028064,-1.975842,0.001055,1.236339,0.020262,1.000000,-5.611583,0.000000,0.004349
0.080000,-1.918546,-0.190046,0.028468,-2.043217,0.194755,0.027519,-1.975594,0.000907,1.236083,0.040393,1.000000,-5.808692,0.000000,0.004584
0.080000,-1.918546,-0.190046,0.028468,-2.043217,0.194755,0.027519,-1.975594,0.000907,1.236083,0.040393,1.000000,-5.808692,0.000000,0.004584
0.082000,-1.918218,-0.189893,0.028184,-2.043521,0.194259,0.027109,-1.975350,0.000731,1.235915,0.058838,1.000000,-5.972781,0.000000,0.004797
0.082000,-1.918218,-0.189893,0.028184,-2.043521,0.194259,0.027109,-1.975350,0.000731,1.235915,0.058838,1.000000,-5.972781,0.000000,0.004797
0.084000,-1.917912,-0.189734,0.027936,-2.043796,0.193871,0.026758,-1.975111,0.000539,1.235797,0.072601,1.000000,-6.108806,0.000000,0.004979
0.084000,-1.917912,-0.189734,0.027936,-2.043796,0.193871,0.026758,-1.975111,0.000539,1.235797,0.072601,1.000000,-6.108806,0.000000,0.004979
0.086000,-1.917657,-0.189595,0.027741,-2.044033,0.193559,0.026458,-1.974861,0.000332,1.235716,0.086350,1.000000,-6.236286,0.000000,0.005166
0.088000,-1.917443,-0.189472,0.027592,-2.044253,0.193259,0.026219,-1.974602,0.000109,1.235673,0.099790,1.000000,-6.361783,0.000000,0.005367
0.090000,-1.917265,-0.189364,0.027483,-2.044460,0.192957,0.026037,-1.974336,-0.000131,1.235664,0.112854,1.000000,-6.487178,0.000000,0.005584
